HJGHS.HFT	해서간자	hanja
HJGJGT.HFT	중고딕간자	hanja
HJGSMJ.HFT	신명조간자	hanja
HJGSYS.HFT	시스템간자	hanja
HJJGT.HFT	한양중고딕	hanja
HJMJ.HFT	명조	hanja
HJSMJ.HFT	한양신명조	hanja
HJSYS.HFT	시스템	hanja
HJYHS.HFT	해서약자	hanja
HJYJGT.HFT	중고딕약자	hanja
HJYSMJ.HFT	신명조약자	hanja
HJYSYS.HFT	시스템약자	hanja
HMEAC.HFT	HCIAcacia	latin
HMEACB.HFT	HCIAcacia	latin
HMEACBI.HFT	HCIAcacia	latin
HMEACI.HFT	HCIAcacia	latin
HMEAHNB.HFT	굵은안상수체영문	latin
HMEAHNL.HFT	가는안상수체영문	latin
HMEAHNM.HFT	중간안상수체영문	latin
HMEBF.HFT	HCIBellflower	latin
HMEBFB.HFT	HCIBellflower	latin
HMEBFBI.HFT	HCIBellflower	latin
HMEBFI.HFT	HCIBellflower	latin
HMECENT.HFT	HCICentaurea	latin
HMECR.HFT	HCIColumbine	latin
HMECRB.HFT	HCIColumbine	latin
HMECRBI.HFT	HCIColumbine	latin
HMECRI.HFT	HCIColumbine	latin
HMEHL.HFT	HCIHollyhock	latin
HMEHLB.HFT	HCIHollyhock	latin
HMEHLBI.HFT	HCIHollyhock	latin
HMEHLI.HFT	HCIHollyhock	latin
HMEHLN.HFT	HCIHollyhockNarrow	latin
HMEHLNB.HFT	HCIHollyhockNarrow	latin
HMEHLNBI.HFT	HCIHollyhockNarrow	latin
HMEHLNI.HFT	HCIHollyhockNarrow	latin
HMEMO.HFT	HCIMorningGlory	latin
HMEMOB.HFT	HCIMorningGlory	latin
HMEMOBI.HFT	HCIMorningGlory	latin
HMEMOI.HFT	HCIMorningGlory	latin
HMEPO.HFT	HCIPoppy	latin
HMEPOB.HFT	HCIPoppy	latin
HMEPOBI.HFT	HCIPoppy	latin
HMEPOI.HFT	HCIPoppy	latin
HMETR.HFT	HCITulip	latin
HMETRB.HFT	HCITulip	latin
HMETRBI.HFT	HCITulip	latin
HMETRI.HFT	HCITulip	latin
HMKBA.HFT	굵은안상수체	hangul
HMKBP.HFT	휴먼굵은팸체	hangul
HMKBS.HFT	휴먼굵은샘체	hangul
HMKLA.HFT	가는안상수체	hangul
HMKLP.HFT	휴먼가는팸체	hangul
HMKLS.HFT	휴먼가는샘체	hangul
HMKMA.HFT	중간안상수체	hangul
HMKMG.HFT	휴먼고딕	hangul
HMKMP.HFT	휴먼중간팸체	hangul
HMKMS.HFT	휴먼중간샘체	hangul
HMKOLD.HFT	휴먼옛체	hangul
HMKSM.HFT	휴먼명조	hangul
HSUSFL.HFT	수식	other
HSUSR.HFT	수식	latin
HSUSRI.HFT	수식	latin
HSUSSP.HFT	수식	symbol
HYENGL.HFT	HY 둥근고딕	latin
HYHGGL.HFT	HY 둥근고딕	hangul
HYJPGL.HFT	HY 둥근고딕	japanese
HYSPGL.HFT	HY 둥근고딕	symbol
JPGT.HFT	고딕	japanese
JPJGT.HFT	한양중고딕	japanese
JPJGTV.HFT	한양중고딕V	japanese
JPMJ.HFT	명조	japanese
JPSMJ.HFT	한양신명조	japanese
JPSMJV.HFT	한양신명조V	japanese
JPSYS.HFT	시스템	japanese
KHANB.HFT	굵은공한	hangul
KHANENGB.HFT	굵은공한	latin
KHANENGL.HFT	가는공한	latin
KHANENGM.HFT	중간공한	latin
KHANL.HFT	가는공한	hangul
KHANM.HFT	중간공한	hangul
MHHGSSG.HFT	문화쓰기	hangul
MHHGSSP.HFT	문화쓰기흘림	hangul
SPJGT.HFT	한양중고딕	symbol
SPMJ.HFT	명조	symbol
SPSMJ.HFT	한양신명조	symbol
SPSYS.HFT	시스템	symbol
TAENMREN.HFT	태나무	latin
TAENMRKR.HFT	태나무	hangul
TEDNREN.HFT	신명디나루	latin
TEDNRHG.HFT	신명디나루	hangul
TEGGTEN.HFT	신명견고딕	latin
